project_manager,employee_id,hire_date,Salary/Rate,employee_type,termination_date,Department/Team
Brian Simon,PM2041,25/12/2023,73704,permanent,,Web Development
Brian Wagner,PM8820,21/09/2024,71043,fixed term,,Network and Infrastructure
Briana Gomez,PM5686,23/02/2021,77574,fixed term,,Mobile Development
Briana Ryan,PM9013,28/01/2022,433,contract,,Network and Infrastructure
Brianna Barrera,PM5470,30/10/2022,615,contract,,IT Support/Helpdesk
Brianna Harris,PM2827,30/01/2022,69805,fixed term,,Web Development
Brittany Carr,PM2340,14/10/2024,611,contract,,Quality Assurance (QA)
Brittany Harvey,PM6426,29/11/2022,78835,fixed term,,Training and Documentation
Brittany Lopez,PM3000,07/02/2022,80891,permanent,,Quality Assurance (QA)
Brittany Smith,PM2712,09/11/2022,68895,fixed term,,IT Operations
Brittany Wood,PM2197,13/09/2022,574,contract,,IT Support/Helpdesk
Brittney Bennett,PM4230,19/04/2021,79722,fixed term,,Database Administration
Brittney Black,PM9802,22/02/2023,466,contract,,Training and Documentation
Brooke Booker,PM2461,20/06/2024,529,contract,,Network and Infrastructure
Brooke Gilbert,PM5164,15/06/2024,70947,permanent,,Web Development
Bruce Sutton,PM9096,25/07/2024,81712,fixed term,,Web Development
Bryan Fisher,PM3564,26/03/2024,66712,fixed term,,IT Support/Helpdesk
Bryan Martin,PM5385,28/12/2020,561,contract,,Quality Assurance (QA)
Bryan Vargas,PM2369,12/02/2023,69824,permanent,,Quality Assurance (QA)
Bryan Young,PM6695,28/02/2024,66563,fixed term,,Network and Infrastructure
Caitlin Huffman,PM7798,24/01/2023,394,contract,,Mobile Development
Caitlin Luna,PM7468,19/08/2024,410,contract,,IT Support/Helpdesk
Caitlin Perez,PM9598,17/01/2022,418,contract,,Cybersecurity
Caitlyn Ramirez,PM9755,23/11/2022,84394,permanent,,Cybersecurity
Caleb Perez,PM5579,15/08/2023,658,contract,,IT Support/Helpdesk
Calvin Morales,PM5569,30/11/2020,460,contract,,IT Support/Helpdesk
Cameron Doyle,PM8115,12/06/2023,68523,permanent,,Quality Assurance (QA)
Cameron Jones,PM7373,10/12/2022,606,contract,,Business Analysis
Cameron Obrien,PM8028,24/06/2023,610,contract,,Network and Infrastructure
Cameron Ramos,PM9835,28/09/2022,67244,permanent,,Project Management Office (PMO)
Cameron Young,PM2847,11/01/2024,71650,permanent,,Project Management Office (PMO)
Candace Pineda,PM2632,30/04/2021,65857,fixed term,,Database Administration
Candace Taylor,PM6701,30/03/2021,641,contract,,Training and Documentation
Carl Wall,PM2615,02/10/2021,75034,permanent,,Web Development
Carla Nelson,PM2535,23/04/2024,83526,fixed term,,Web Development
Carla Scott,PM7591,27/09/2021,84889,fixed term,,IT Support/Helpdesk
Carlos Higgins,PM8782,08/01/2024,652,contract,,IT Operations
Carlos Moore,PM3222,02/11/2020,74786,permanent,,Mobile Development
Carlos Wallace,PM6530,22/10/2021,671,contract,,Business Analysis
Carly Terrell,PM9700,26/10/2023,83148,permanent,,Database Administration
Carly Wright,PM7308,26/01/2022,83746,fixed term,,Business Analysis
Carmen Wallace,PM2778,16/05/2023,536,contract,,Mobile Development
Carol Cook,PM5121,08/04/2024,532,contract,,IT Support/Helpdesk
Carol Pearson,PM9193,25/02/2022,438,contract,,IT Support/Helpdesk
Carol Simpson MD,PM7335,20/12/2022,71344,fixed term,,Web Development
Caroline Townsend,PM7104,13/02/2022,73929,fixed term,,Mobile Development
Carolyn Caldwell,PM2142,06/08/2021,79650,permanent,,IT Operations
Carolyn Hill,PM6323,03/07/2024,82917,fixed term,,Web Development
Carolyn Johnson,PM2974,29/04/2022,77656,fixed term,,IT Support/Helpdesk
Carrie Green,PM2180,20/09/2020,642,contract,,Training and Documentation
Carrie Higgins,PM5756,11/11/2022,79916,fixed term,,Network and Infrastructure
Carrie Simmons,PM4842,08/06/2024,66786,permanent,,Cybersecurity
Carrie Zimmerman,PM3665,01/01/2021,70357,fixed term,,Web Development
Casey Brown,PM3712,15/09/2023,79456,permanent,,Web Development
Casey Haas,PM5035,03/03/2022,79726,permanent,,Network and Infrastructure
Casey Moore,PM7580,04/05/2021,469,contract,,Network and Infrastructure
Casey Thompson,PM2685,01/08/2021,580,contract,,Project Management Office (PMO)
Casey Wolf,PM5326,27/10/2020,443,contract,,Network and Infrastructure
Cassandra Stone,PM9468,08/11/2020,455,contract,,Network and Infrastructure
Cassandra Summers,PM7849,25/10/2024,84008,permanent,,Training and Documentation
Cassandra Walker,PM4643,14/01/2023,83329,fixed term,,Training and Documentation
Catherine Clements,PM7271,30/11/2020,68642,fixed term,,Quality Assurance (QA)
Catherine Cox MD,PM8622,21/10/2020,79610,fixed term,,Quality Assurance (QA)
Catherine Johnson,PM6401,08/08/2023,515,contract,,Web Development
Catherine Phillips,PM2809,14/02/2024,69285,permanent,,Database Administration
Catherine Tran,PM5993,07/09/2022,550,contract,,Business Analysis
Cathy Ramos,PM8989,07/10/2023,457,contract,,Mobile Development
Cesar Fowler,PM9078,12/09/2024,81721,permanent,,Cybersecurity
Chad Adams MD,PM7565,24/08/2020,66094,fixed term,,Network and Infrastructure
Chad Dunn,PM2701,03/09/2024,74703,fixed term,,Cybersecurity
Chad Kaiser,PM5763,14/01/2024,80878,permanent,,Quality Assurance (QA)
Chad Norton,PM2938,31/07/2022,80247,fixed term,,Training and Documentation
Chad Singleton,PM9371,18/06/2022,378,contract,,Cybersecurity
Chad Thomas,PM9879,05/06/2023,79939,permanent,,Cybersecurity
Charles Allen,PM9266,13/02/2021,584,contract,,Quality Assurance (QA)
Charles Baker,PM8944,05/04/2023,83107,permanent,,Training and Documentation
Charles Barnes,PM6275,29/09/2023,674,contract,,Business Analysis
Charles Chase,PM4610,20/06/2024,76209,fixed term,,Project Management Office (PMO)
Charles Collins,PM9101,26/11/2021,451,contract,,IT Support/Helpdesk
Charles Green,PM5115,01/05/2022,475,contract,,Quality Assurance (QA)
Charles Hall,PM8503,19/05/2023,571,contract,,IT Support/Helpdesk
Charles Hart,PM4959,23/04/2021,528,contract,,Database Administration
Charles Maldonado,PM2105,16/09/2023,609,contract,,Database Administration
Charles Morgan,PM4352,22/08/2021,79917,permanent,,Database Administration
Charles Munoz,PM9168,29/10/2023,537,contract,,Cybersecurity
Charles Rivera,PM5777,29/07/2023,72585,permanent,,IT Support/Helpdesk
Charles Stewart,PM4785,18/05/2023,67763,permanent,,Mobile Development
Charles Vega,PM9254,06/08/2024,68346,fixed term,,Quality Assurance (QA)
Chase Murphy,PM8311,27/12/2022,489,contract,,Network and Infrastructure
Chase Porter,PM8568,11/10/2022,80981,permanent,,Cybersecurity
Chelsea Bailey,PM2048,16/08/2024,77606,fixed term,,Training and Documentation
Chelsea Chung,PM4701,07/04/2024,66097,fixed term,,Business Analysis
Chelsea Sanchez,PM6925,18/11/2023,76474,fixed term,,Web Development
Chelsea Wood,PM4179,12/03/2024,80349,fixed term,,Web Development
Chelsey Davis,PM7359,19/10/2020,74205,fixed term,,Database Administration
Cheryl Caldwell DDS,PM8153,13/05/2023,77628,permanent,,Business Analysis
Cheryl Espinoza,PM3006,17/02/2022,667,contract,,IT Support/Helpdesk
Cheryl Holt,PM7725,26/09/2022,509,contract,,Mobile Development
Cheyenne Freeman,PM5104,01/11/2021,68097,permanent,,IT Operations
Cheyenne Morgan,PM9507,18/12/2020,411,contract,,IT Operations
Chloe Lambert,PM8804,29/06/2021,66348,permanent,,Mobile Development
Chloe Mueller,PM9480,12/07/2024,526,contract,,Mobile Development
Chris White,PM9198,04/08/2023,74517,fixed term,,Project Management Office (PMO)
Christian Bradley,PM6200,02/03/2024,70552,permanent,,Mobile Development
Christian Gonzalez,PM9216,03/02/2021,633,contract,,Business Analysis
Christian Hughes,PM9575,18/10/2023,488,contract,,Mobile Development
Christian Rogers,PM8840,25/01/2023,555,contract,,Cybersecurity
Christie Hall,PM2408,22/02/2022,77925,permanent,,Business Analysis
Christina Brooks,PM4942,26/07/2024,562,contract,,Business Analysis
Christina Carson,PM7426,28/01/2024,74603,fixed term,,IT Operations
Christina Clayton,PM3967,24/06/2021,665,contract,,Network and Infrastructure
Christina Cortez,PM5047,25/02/2023,76879,fixed term,,Web Development
Christina Eaton,PM3396,11/12/2023,66509,fixed term,,Network and Infrastructure
Christina Garza,PM5997,26/02/2022,670,contract,,IT Support/Helpdesk
Christina Gonzalez,PM5965,11/06/2024,67512,permanent,,Training and Documentation
Christina Grant,PM2573,03/11/2023,68997,fixed term,,Quality Assurance (QA)
Christina Hammond,PM9684,18/04/2021,68876,permanent,,Project Management Office (PMO)
Christina Hernandez,PM2290,28/12/2020,84212,fixed term,,Network and Infrastructure
Christina Sandoval,PM4415,26/12/2020,74942,fixed term,,IT Support/Helpdesk
Christina Thomas,PM3973,26/08/2023,80872,fixed term,,Quality Assurance (QA)
Christina Waller,PM2677,09/10/2023,66323,permanent,,Mobile Development
Christine Douglas,PM5802,21/11/2021,73081,permanent,,IT Operations
Christine Fisher,PM8536,16/08/2024,399,contract,,Business Analysis
Christine Holmes,PM8882,06/02/2022,84219,fixed term,,Business Analysis
Christine Hooper,PM9588,21/01/2023,595,contract,,Network and Infrastructure
Christine Johnson,PM8204,05/12/2022,69001,fixed term,,Network and Infrastructure
Christine Kennedy,PM7598,21/07/2023,80961,permanent,,Business Analysis
Christine Larson,PM8247,08/05/2024,75210,permanent,,Cybersecurity
Christine Moore,PM2912,25/01/2023,82250,fixed term,,Web Development
Christine Reynolds,PM9395,12/06/2022,79089,permanent,,Database Administration
Christine Walker,PM3476,21/04/2024,82040,permanent,,Training and Documentation
Christopher Andersen,PM4469,13/05/2023,83685,permanent,,Business Analysis
Christopher Barber,PM3834,06/11/2023,68154,fixed term,,Web Development
Christopher Bennett,PM8942,09/03/2021,80767,permanent,,Web Development
Christopher Benson,PM5676,13/01/2024,78018,fixed term,,Web Development
Christopher Brown,PM2837,05/05/2023,72795,fixed term,,Business Analysis
Christopher Chang,PM9281,01/06/2022,68535,fixed term,,Business Analysis
Christopher Clark,PM3403,22/09/2022,65437,fixed term,,Web Development
Christopher Cruz,PM4716,15/08/2021,77566,fixed term,,Network and Infrastructure
Christopher Daniels,PM9153,18/12/2022,520,contract,,IT Support/Helpdesk
Christopher Davis,PM4720,15/12/2020,81970,fixed term,,Mobile Development
Christopher Diaz,PM4456,16/05/2023,66705,fixed term,,IT Operations
Christopher Elliott,PM8333,16/11/2022,81404,permanent,,Network and Infrastructure
Christopher Green,PM5034,26/01/2021,658,contract,,Network and Infrastructure
Christopher Hall,PM8435,05/12/2021,71605,permanent,,Quality Assurance (QA)
Christopher Holder,PM8276,25/04/2022,653,contract,,Web Development
Christopher Howard,PM8103,31/01/2021,78863,permanent,,Project Management Office (PMO)
Christopher Hunter,PM4609,03/07/2024,594,contract,,IT Support/Helpdesk
Christopher James,PM9613,18/04/2021,79986,permanent,,Business Analysis
Christopher Johnson,PM3160,03/12/2020,77634,permanent,,Quality Assurance (QA)
Christopher Jones,PM6314,08/12/2021,390,contract,,Training and Documentation
Christopher Lane,PM2439,27/02/2023,76952,fixed term,,Quality Assurance (QA)
Christopher Lopez,PM3809,26/08/2023,437,contract,,Web Development
Christopher Maldonado,PM5808,04/04/2022,70028,fixed term,,Quality Assurance (QA)
Christopher Martinez,PM9944,25/10/2023,71694,permanent,,Training and Documentation
Christopher Moran,PM6308,14/09/2023,535,contract,,Web Development
Christopher Moreno,PM5660,02/12/2020,72805,fixed term,,Database Administration
Christopher Ortiz,PM8164,14/11/2022,82111,fixed term,,Cybersecurity
Christopher Patterson,PM4063,16/12/2020,76915,fixed term,,Web Development
Christopher Perkins,PM2052,11/02/2021,73777,fixed term,,Web Development
Christopher Randolph,PM6090,20/11/2023,504,contract,,Training and Documentation
Christopher Reynolds,PM5083,18/02/2023,67020,permanent,,Web Development
Christopher Romero,PM2601,09/09/2021,76645,permanent,,Project Management Office (PMO)
Christopher Rose,PM7840,03/06/2022,74296,permanent,,Project Management Office (PMO)
Christopher Schneider,PM2357,29/04/2023,69315,fixed term,,Network and Infrastructure
Christopher Shaw,PM9129,30/09/2022,78191,fixed term,,Web Development
Christopher Smith,PM8871,24/10/2023,65826,permanent,,Quality Assurance (QA)
Christopher Solomon,PM8964,09/12/2022,81228,fixed term,,Training and Documentation
Christopher Tate,PM7472,24/12/2023,74012,fixed term,,Database Administration
Christopher Taylor,PM9015,25/12/2021,70994,fixed term,,Business Analysis
Christopher Williams,PM2088,20/09/2020,668,contract,,IT Support/Helpdesk
Christopher Young,PM9358,24/07/2021,622,contract,,Mobile Development
Christy Jimenez,PM3259,13/09/2022,82902,permanent,,Business Analysis
Christy Stephens,PM5516,30/08/2024,71747,permanent,,Web Development
Cindy Andrews,PM9658,07/07/2022,549,contract,,IT Support/Helpdesk
Cindy Gibbs,PM5420,28/06/2022,73777,permanent,,Database Administration
Claudia Jones,PM5489,05/06/2021,82674,permanent,,Project Management Office (PMO)
Clayton Boyd,PM6999,17/11/2022,69186,permanent,,Web Development
Clinton Walker,PM2823,29/04/2023,80554,fixed term,,Project Management Office (PMO)
Cody Becker,PM4458,13/08/2020,65672,fixed term,,Training and Documentation
Cody Beltran,PM2236,13/01/2024,76096,fixed term,,Network and Infrastructure
Cody Carter,PM3135,03/04/2022,672,contract,,Business Analysis
Cody Ramirez,PM7057,07/12/2020,84340,fixed term,,Business Analysis
Cody Walker,PM8742,18/02/2023,69647,permanent,,Training and Documentation
Cody Young DVM,PM6703,25/04/2022,423,contract,,Web Development
Cole Kennedy,PM7830,04/05/2023,80306,fixed term,,Database Administration
Colin Haynes,PM7629,28/07/2021,75643,permanent,,Business Analysis
Colin Lowe,PM7002,29/02/2024,80508,fixed term,,Training and Documentation
Colin Moreno,PM7063,09/08/2023,68255,permanent,,IT Support/Helpdesk
Colleen Cruz,PM3485,02/04/2023,84635,fixed term,,Project Management Office (PMO)
Colleen Davis,PM6357,31/12/2023,566,contract,,IT Support/Helpdesk
Colleen Hoover,PM3042,25/04/2021,447,contract,,IT Operations
Colleen Phillips,PM5982,07/10/2021,78205,permanent,,Mobile Development
Colleen Reeves,PM5938,13/04/2024,65049,permanent,,Network and Infrastructure
Collin Torres,PM3930,07/10/2020,76433,permanent,,Mobile Development
Corey Cervantes,PM2442,13/01/2021,65341,fixed term,,Web Development
Corey Clark,PM7504,19/12/2022,70896,fixed term,,Web Development
Corey Kelley,PM6626,17/08/2024,585,contract,,Training and Documentation
Corey Myers,PM8626,28/04/2024,76496,permanent,,Database Administration
Cory Dunn,PM3576,11/08/2021,74912,permanent,,IT Operations
Cory Perez,PM6857,28/08/2023,71092,fixed term,,Project Management Office (PMO)
Courtney Brown,PM2017,17/09/2022,397,contract,,Web Development
Courtney Gamble,PM2332,23/08/2023,70484,permanent,,Network and Infrastructure
Courtney Goodwin,PM3325,28/11/2023,436,contract,,Web Development
Courtney Mendez,PM5535,16/07/2023,82573,permanent,,IT Support/Helpdesk
Courtney Porter,PM8519,08/12/2021,76438,fixed term,,Web Development
Courtney Ritter,PM3264,28/08/2022,65578,permanent,,Database Administration
Courtney Rogers,PM4010,29/05/2023,590,contract,,Mobile Development
Courtney Turner,PM3650,20/10/2022,71067,fixed term,,Web Development
Courtney Williams,PM5496,27/05/2024,66477,permanent,,Mobile Development
Courtney Wilson,PM9152,12/01/2024,426,contract,,Web Development
Craig Nelson,PM5469,28/10/2023,71785,fixed term,,Business Analysis
Craig Wang,PM4854,14/06/2022,84762,fixed term,,Business Analysis
Cristian Villarreal,PM9613,18/04/2021,68431,fixed term,,Mobile Development
Crystal Bender,PM5659,16/01/2021,80825,fixed term,,Training and Documentation
Crystal Brown,PM6898,05/03/2022,601,contract,,Network and Infrastructure
Crystal Bryant,PM8329,06/05/2023,78108,fixed term,,Training and Documentation
Crystal Cardenas,PM8201,30/07/2024,68438,permanent,,Network and Infrastructure
Crystal Green,PM5406,15/02/2024,652,contract,,IT Operations
Crystal Gutierrez,PM2263,11/03/2024,566,contract,,Training and Documentation
Crystal Huang,PM6262,21/08/2024,78119,fixed term,,Quality Assurance (QA)
Crystal Lynch,PM7901,01/05/2024,410,contract,,Quality Assurance (QA)
Crystal Marshall,PM5395,13/09/2022,74041,permanent,,IT Operations
Crystal Miller,PM6177,09/07/2024,78853,permanent,,Mobile Development
Curtis Graham Jr.,PM9051,22/04/2022,80260,fixed term,,Mobile Development
Curtis Hernandez,PM2783,23/05/2022,79502,fixed term,,Training and Documentation
Curtis Willis,PM8026,02/12/2023,665,contract,,Network and Infrastructure
Cynthia Brooks,PM6476,02/02/2024,439,contract,,Training and Documentation
Cynthia Brown,PM3519,30/09/2020,79659,permanent,,Mobile Development
Cynthia Fuentes,PM3089,05/04/2022,79393,fixed term,,Web Development
Cynthia Moran,PM3667,06/09/2022,69406,fixed term,,Mobile Development
Cynthia Vance,PM3058,03/04/2023,71850,permanent,,Web Development
Cynthia White,PM7479,12/09/2024,65106,fixed term,,Web Development
Daisy Chambers,PM2523,01/03/2022,73327,fixed term,,Web Development
Dale Sherman,PM6535,16/12/2022,72787,fixed term,,Network and Infrastructure
Dalton Brown,PM7030,20/09/2023,84955,fixed term,,Web Development
Dalton Smith,PM6611,26/12/2020,72190,permanent,,Web Development
Dan Harris,PM8950,11/05/2022,538,contract,,Project Management Office (PMO)
Dana Bennett,PM6329,24/10/2021,429,contract,,Mobile Development
Dana Hansen,PM6233,19/11/2020,71748,permanent,,Web Development
Dana Mccall,PM3205,12/10/2021,550,contract,,Web Development
Dana Wiley,PM8125,03/07/2024,83052,fixed term,,Network and Infrastructure
Daniel Blake,PM2648,17/11/2021,412,contract,,Quality Assurance (QA)
Daniel Bryant,PM3064,19/04/2022,73293,permanent,,Web Development
Daniel Burke,PM2998,08/06/2024,492,contract,,IT Operations
Daniel Chapman,PM8497,16/03/2022,68625,permanent,,IT Operations
Daniel Garcia,PM3509,02/09/2021,78442,fixed term,,Training and Documentation
Daniel Gomez,PM5313,20/06/2021,65848,fixed term,,Web Development
Daniel Hernandez,PM4896,08/08/2021,69373,fixed term,,Training and Documentation
Daniel Jackson,PM6111,27/01/2022,79885,fixed term,,Project Management Office (PMO)
